latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-9.524998,-77.424995,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2005-01-01,0.92
2005-01-02,1.00
2005-01-03,2.03
2005-01-04,1.64
2005-01-05,2.14
2005-01-06,1.75
2005-01-07,1.59
2005-01-08,2.14
2005-01-09,1.86
2005-01-10,1.72
2005-01-11,1.64
2005-01-12,1.84
2005-01-13,1.70
2005-01-14,1.62
2005-01-15,1.61
2005-01-16,1.53
2005-01-17,1.44
2005-01-18,1.34
2005-01-19,1.25
2005-01-20,1.26
2005-01-21,1.22
2005-01-22,1.20
2005-01-23,1.88
2005-01-24,2.08
2005-01-25,1.80
2005-01-26,2.45
2005-01-27,2.16
2005-01-28,2.71
2005-01-29,2.36
2005-01-30,2.08
2005-01-31,2.18
2005-02-01,2.79
2005-02-02,2.53
2005-02-03,2.75
2005-02-04,3.07
2005-02-05,2.55
2005-02-06,2.28
2005-02-07,3.12
2005-02-08,5.14
2005-02-09,3.43
2005-02-10,3.25
2005-02-11,2.98
2005-02-12,2.92
2005-02-13,2.67
2005-02-14,2.52
2005-02-15,2.40
2005-02-16,2.27
2005-02-17,2.21
2005-02-18,2.30
2005-02-19,2.25
2005-02-20,2.16
2005-02-21,2.34
2005-02-22,2.37
2005-02-23,2.28
2005-02-24,2.50
2005-02-25,2.40
2005-02-26,3.09
2005-02-27,5.03
2005-02-28,3.53
2005-03-01,3.22
2005-03-02,5.68
2005-03-03,4.13
2005-03-04,4.75
2005-03-05,3.56
2005-03-06,3.09
2005-03-07,3.56
2005-03-08,3.09
2005-03-09,2.75
2005-03-10,2.85
2005-03-11,2.66
2005-03-12,2.50
2005-03-13,2.34
2005-03-14,2.25
2005-03-15,2.16
2005-03-16,2.06
2005-03-17,2.00
2005-03-18,1.97
2005-03-19,1.90
2005-03-20,1.81
2005-03-21,1.72
2005-03-22,1.69
2005-03-23,1.65
2005-03-24,1.62
2005-03-25,1.56
2005-03-26,1.53
2005-03-27,1.50
2005-03-28,1.50
2005-03-29,1.50
2005-03-30,1.72
2005-03-31,1.65
2005-04-01,1.59
2005-04-02,1.56
2005-04-03,1.50
2005-04-04,1.44
2005-04-05,1.38
2005-04-06,1.38
2005-04-07,1.28
2005-04-08,1.22
2005-04-09,1.12
2005-04-10,1.06
2005-04-11,1.00
2005-04-12,0.94
2005-04-13,0.87
2005-04-14,0.85
2005-04-15,0.78
2005-04-16,0.72
2005-04-17,0.66
2005-04-18,0.63
2005-04-19,0.63
2005-04-20,0.59
2005-04-21,0.59
2005-04-22,0.56
2005-04-23,0.63
2005-04-24,0.59
2005-04-25,0.56
2005-04-26,0.53
2005-04-27,0.53
2005-04-28,0.53
2005-04-29,0.50
2005-04-30,0.47
2005-05-01,0.47
2005-05-02,0.47
2005-05-03,0.44
2005-05-04,0.44
2005-05-05,0.47
2005-05-06,0.44
2005-05-07,0.41
2005-05-08,0.37
2005-05-09,0.37
2005-05-10,0.41
2005-05-11,0.37
2005-05-12,0.34
2005-05-13,0.31
2005-05-14,0.31
2005-05-15,0.31
2005-05-16,0.31
2005-05-17,0.34
2005-05-18,0.34
2005-05-19,0.34
2005-05-20,0.31
2005-05-21,0.31
2005-05-22,0.31
2005-05-23,0.31
2005-05-24,0.28
2005-05-25,0.28
2005-05-26,0.25
2005-05-27,0.25
2005-05-28,0.25
2005-05-29,0.25
2005-05-30,0.25
2005-05-31,0.22
2005-06-01,0.22
2005-06-02,0.22
2005-06-03,0.22
2005-06-04,0.22
2005-06-05,0.22
2005-06-06,0.22
2005-06-07,0.22
2005-06-08,0.20
2005-06-09,0.20
2005-06-10,0.20
2005-06-11,0.20
2005-06-12,0.20
2005-06-13,0.19
2005-06-14,0.19
2005-06-15,0.19
2005-06-16,0.19
2005-06-17,0.19
2005-06-18,0.19
2005-06-19,0.17
2005-06-20,0.17
2005-06-21,0.17
2005-06-22,0.17
2005-06-23,0.17
2005-06-24,0.17
2005-06-25,0.17
2005-06-26,0.16
2005-06-27,0.16
2005-06-28,0.16
2005-06-29,0.16
2005-06-30,0.16
2005-07-01,0.16
2005-07-02,0.14
2005-07-03,0.14
2005-07-04,0.14
2005-07-05,0.14
2005-07-06,0.14
2005-07-07,0.14
2005-07-08,0.12
2005-07-09,0.12
2005-07-10,0.12
2005-07-11,0.12
2005-07-12,0.12
2005-07-13,0.11
2005-07-14,0.11
2005-07-15,0.11
2005-07-16,0.11
2005-07-17,0.11
2005-07-18,0.11
2005-07-19,0.11
2005-07-20,0.11
2005-07-21,0.11
2005-07-22,0.09
2005-07-23,0.09
2005-07-24,0.09
2005-07-25,0.09
2005-07-26,0.09
2005-07-27,0.09
2005-07-28,0.09
2005-07-29,0.09
2005-07-30,0.09
2005-07-31,0.09
2005-08-01,0.09
2005-08-02,0.08
2005-08-03,0.08
2005-08-04,0.08
2005-08-05,0.08
2005-08-06,0.08
2005-08-07,0.08
2005-08-08,0.08
2005-08-09,0.08
2005-08-10,0.08
2005-08-11,0.08
2005-08-12,0.08
2005-08-13,0.07
2005-08-14,0.07
2005-08-15,0.07
2005-08-16,0.07
2005-08-17,0.07
2005-08-18,0.07
2005-08-19,0.06
2005-08-20,0.06
2005-08-21,0.06
2005-08-22,0.06
2005-08-23,0.06
2005-08-24,0.08
2005-08-25,0.06
2005-08-26,0.06
2005-08-27,0.07
2005-08-28,0.06
2005-08-29,0.06
2005-08-30,0.06
2005-08-31,0.07
2005-09-01,0.06
2005-09-02,0.06
2005-09-03,0.07
2005-09-04,0.06
2005-09-05,0.06
2005-09-06,0.06
2005-09-07,0.06
2005-09-08,0.06
2005-09-09,0.06
2005-09-10,0.06
2005-09-11,0.06
2005-09-12,0.06
2005-09-13,0.06
2005-09-14,0.06
2005-09-15,0.06
2005-09-16,0.06
2005-09-17,0.06
2005-09-18,0.06
2005-09-19,0.06
2005-09-20,0.06
2005-09-21,0.06
2005-09-22,0.06
2005-09-23,0.06
2005-09-24,0.06
2005-09-25,0.08
2005-09-26,0.08
2005-09-27,0.06
2005-09-28,0.08
2005-09-29,0.09
2005-09-30,0.07
2005-10-01,0.08
2005-10-02,0.09
2005-10-03,0.12
2005-10-04,0.13
2005-10-05,0.16
2005-10-06,0.16
2005-10-07,0.16
2005-10-08,0.20
2005-10-09,0.23
2005-10-10,0.23
2005-10-11,0.23
2005-10-12,0.22
2005-10-13,0.21
2005-10-14,0.19
2005-10-15,0.17
2005-10-16,0.16
2005-10-17,0.13
2005-10-18,0.14
2005-10-19,0.16
2005-10-20,0.16
2005-10-21,0.21
2005-10-22,0.25
2005-10-23,0.25
2005-10-24,0.26
2005-10-25,0.28
2005-10-26,0.26
2005-10-27,0.23
2005-10-28,0.25
2005-10-29,0.25
2005-10-30,0.26
2005-10-31,0.26
2005-11-01,0.28
2005-11-02,0.31
2005-11-03,0.29
2005-11-04,0.26
2005-11-05,0.25
2005-11-06,0.23
2005-11-07,0.25
2005-11-08,0.25
2005-11-09,0.25
2005-11-10,0.23
2005-11-11,0.29
2005-11-12,0.32
2005-11-13,0.31
2005-11-14,0.29
2005-11-15,0.26
2005-11-16,0.24
2005-11-17,0.23
2005-11-18,0.23
2005-11-19,0.22
2005-11-20,0.25
2005-11-21,0.27
2005-11-22,0.28
2005-11-23,0.26
2005-11-24,0.23
2005-11-25,0.19
2005-11-26,0.19
2005-11-27,0.20
2005-11-28,0.17
2005-11-29,0.14
2005-11-30,0.13
2005-12-01,0.12
2005-12-02,0.11
2005-12-03,0.10
2005-12-04,0.10
2005-12-05,0.12
2005-12-06,0.12
2005-12-07,0.11
2005-12-08,0.11
2005-12-09,0.11
2005-12-10,0.11
2005-12-11,0.11
2005-12-12,0.16
2005-12-13,0.17
2005-12-14,0.19
2005-12-15,0.19
2005-12-16,0.23
2005-12-17,0.25
2005-12-18,0.25
2005-12-19,0.23
2005-12-20,0.25
2005-12-21,0.30
2005-12-22,0.39
2005-12-23,0.45
2005-12-24,0.50
2005-12-25,0.50
2005-12-26,0.55
2005-12-27,0.50
2005-12-28,0.47
2005-12-29,0.47
2005-12-30,0.47
2005-12-31,0.45
2006-01-01,0.45
2006-01-02,0.53
2006-01-03,0.47
2006-01-04,0.42
2006-01-05,0.39
2006-01-06,0.44
2006-01-07,0.41
2006-01-08,0.37
2006-01-09,0.42
2006-01-10,0.50
2006-01-11,0.52
2006-01-12,0.53
2006-01-13,1.14
2006-01-14,0.99
2006-01-15,0.91
2006-01-16,0.83
