latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-19.524998,-41.524994,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2005-01-01,51.36
2005-01-02,51.12
2005-01-03,53.08
2005-01-04,53.83
2005-01-05,52.70
2005-01-06,50.17
2005-01-07,47.53
2005-01-08,45.03
2005-01-09,42.95
2005-01-10,41.07
2005-01-11,38.99
2005-01-12,38.99
2005-01-13,42.25
2005-01-14,48.09
2005-01-15,51.84
2005-01-16,52.09
2005-01-17,51.24
2005-01-18,52.83
2005-01-19,54.08
2005-01-20,52.58
2005-01-21,50.17
2005-01-22,47.75
2005-01-23,46.42
2005-01-24,46.21
2005-01-25,45.56
2005-01-26,45.34
2005-01-27,47.64
2005-01-28,51.24
2005-01-29,52.09
2005-01-30,50.17
2005-01-31,52.09
2005-02-01,87.10
2005-02-02,96.27
2005-02-03,94.28
2005-02-04,89.78
2005-02-05,85.70
2005-02-06,86.30
2005-02-07,87.72
2005-02-08,84.51
2005-02-09,80.66
2005-02-10,77.16
2005-02-11,73.99
2005-02-12,71.28
2005-02-13,73.47
2005-02-14,76.80
2005-02-15,79.17
2005-02-16,78.07
2005-02-17,75.91
2005-02-18,77.52
2005-02-19,77.89
2005-02-20,78.62
2005-02-21,82.75
2005-02-22,83.72
2005-02-23,80.66
2005-02-24,77.52
2005-02-25,74.51
2005-02-26,71.61
2005-02-27,69.63
2005-02-28,69.79
2005-03-01,72.62
2005-03-02,78.62
2005-03-03,85.30
2005-03-04,89.36
2005-03-05,92.97
2005-03-06,96.72
2005-03-07,99.93
2005-03-08,101.57
2005-03-09,101.09
2005-03-10,99.46
2005-03-11,96.95
2005-03-12,95.61
2005-03-13,93.62
2005-03-14,90.83
2005-03-15,87.92
2005-03-16,85.10
2005-03-17,82.18
2005-03-18,79.35
2005-03-19,76.45
2005-03-20,73.64
2005-03-21,71.11
2005-03-22,68.66
2005-03-23,65.83
2005-03-24,63.12
2005-03-25,60.66
2005-03-26,59.95
2005-03-27,60.94
2005-03-28,61.66
2005-03-29,61.81
2005-03-30,60.38
2005-03-31,58.02
2005-04-01,55.62
2005-04-02,53.33
2005-04-03,51.00
2005-04-04,48.66
2005-04-05,46.32
2005-04-06,43.98
2005-04-07,41.85
2005-04-08,39.64
2005-04-09,37.64
2005-04-10,35.73
2005-04-11,33.75
2005-04-12,31.89
2005-04-13,29.97
2005-04-14,28.31
2005-04-15,26.73
2005-04-16,25.18
2005-04-17,23.60
2005-04-18,22.17
2005-04-19,20.88
2005-04-20,19.75
2005-04-21,18.77
2005-04-22,17.97
2005-04-23,17.49
2005-04-24,17.16
2005-04-25,16.70
2005-04-26,16.18
2005-04-27,15.83
2005-04-28,15.56
2005-04-29,15.26
2005-04-30,14.96
2005-05-01,14.78
2005-05-02,14.60
2005-05-03,14.35
2005-05-04,14.10
2005-05-05,13.86
2005-05-06,13.69
2005-05-07,13.52
2005-05-08,13.39
2005-05-09,13.26
2005-05-10,13.16
2005-05-11,13.06
2005-05-12,12.96
2005-05-13,12.90
2005-05-14,12.80
2005-05-15,12.74
2005-05-16,12.65
2005-05-17,12.58
2005-05-18,12.52
2005-05-19,12.43
2005-05-20,12.37
2005-05-21,12.30
2005-05-22,12.21
2005-05-23,12.18
2005-05-24,12.15
2005-05-25,12.15
2005-05-26,12.09
2005-05-27,12.06
2005-05-28,12.03
2005-05-29,11.94
2005-05-30,11.85
2005-05-31,11.82
2005-06-01,11.76
2005-06-02,11.68
2005-06-03,11.62
2005-06-04,11.59
2005-06-05,11.56
2005-06-06,11.47
2005-06-07,11.39
2005-06-08,11.30
2005-06-09,11.22
2005-06-10,11.16
2005-06-11,11.11
2005-06-12,11.02
2005-06-13,10.97
2005-06-14,10.91
2005-06-15,10.83
2005-06-16,10.78
2005-06-17,10.69
2005-06-18,10.61
2005-06-19,10.53
2005-06-20,10.48
2005-06-21,10.43
2005-06-22,10.38
2005-06-23,10.32
2005-06-24,10.25
2005-06-25,10.17
2005-06-26,10.12
2005-06-27,10.04
2005-06-28,9.99
2005-06-29,9.91
2005-06-30,9.84
2005-07-01,9.79
2005-07-02,9.72
2005-07-03,9.67
2005-07-04,9.57
2005-07-05,9.52
2005-07-06,9.45
2005-07-07,9.40
2005-07-08,9.33
2005-07-09,9.26
2005-07-10,9.21
2005-07-11,9.16
2005-07-12,9.07
2005-07-13,9.02
2005-07-14,8.95
2005-07-15,8.89
2005-07-16,8.82
2005-07-17,8.75
2005-07-18,8.68
2005-07-19,8.62
2005-07-20,8.57
2005-07-21,8.53
2005-07-22,8.48
2005-07-23,8.42
2005-07-24,8.35
2005-07-25,8.29
2005-07-26,8.20
2005-07-27,8.16
2005-07-28,8.10
2005-07-29,8.04
2005-07-30,7.97
2005-07-31,7.91
2005-08-01,7.85
2005-08-02,7.77
2005-08-03,7.71
2005-08-04,7.65
2005-08-05,7.59
2005-08-06,7.53
2005-08-07,7.49
2005-08-08,7.41
2005-08-09,7.34
2005-08-10,7.30
2005-08-11,7.24
2005-08-12,7.18
2005-08-13,7.13
2005-08-14,7.07
2005-08-15,7.02
2005-08-16,6.96
2005-08-17,6.91
2005-08-18,6.87
2005-08-19,6.82
2005-08-20,6.74
2005-08-21,6.69
2005-08-22,6.64
2005-08-23,6.57
2005-08-24,6.52
2005-08-25,6.43
2005-08-26,6.38
2005-08-27,6.33
2005-08-28,6.26
2005-08-29,6.21
2005-08-30,6.13
2005-08-31,6.06
2005-09-01,6.01
2005-09-02,5.95
2005-09-03,5.90
2005-09-04,5.84
2005-09-05,5.79
2005-09-06,5.71
2005-09-07,5.65
2005-09-08,5.64
2005-09-09,5.62
2005-09-10,5.58
2005-09-11,5.50
2005-09-12,5.43
2005-09-13,5.37
2005-09-14,5.32
2005-09-15,5.30
2005-09-16,5.27
2005-09-17,5.19
2005-09-18,5.14
2005-09-19,5.08
2005-09-20,5.03
2005-09-21,5.00
2005-09-22,5.00
2005-09-23,4.94
2005-09-24,4.85
2005-09-25,4.77
2005-09-26,4.71
2005-09-27,4.71
2005-09-28,4.83
2005-09-29,4.97
2005-09-30,4.92
2005-10-01,4.75
2005-10-02,4.62
2005-10-03,4.50
2005-10-04,4.38
2005-10-05,4.31
2005-10-06,4.21
2005-10-07,4.13
2005-10-08,4.06
2005-10-09,4.00
2005-10-10,3.94
2005-10-11,3.89
2005-10-12,3.82
2005-10-13,3.75
2005-10-14,3.70
2005-10-15,3.65
2005-10-16,3.60
2005-10-17,3.55
2005-10-18,3.50
2005-10-19,3.46
2005-10-20,3.43
2005-10-21,3.37
2005-10-22,3.33
2005-10-23,3.28
2005-10-24,3.24
2005-10-25,3.20
2005-10-26,3.15
2005-10-27,3.11
2005-10-28,3.10
2005-10-29,3.18
2005-10-30,3.46
2005-10-31,3.99
2005-11-01,4.43
2005-11-02,4.46
2005-11-03,4.36
2005-11-04,4.25
2005-11-05,4.01
2005-11-06,3.75
2005-11-07,3.53
2005-11-08,3.47
2005-11-09,3.46
2005-11-10,3.40
2005-11-11,3.34
2005-11-12,3.37
2005-11-13,3.37
2005-11-14,3.29
2005-11-15,3.17
2005-11-16,3.04
2005-11-17,2.92
2005-11-18,2.87
2005-11-19,2.92
2005-11-20,3.18
2005-11-21,3.76
2005-11-22,4.35
2005-11-23,4.42
2005-11-24,3.95
2005-11-25,3.52
2005-11-26,3.41
2005-11-27,5.27
2005-11-28,10.53
2005-11-29,13.49
2005-11-30,13.35
2005-12-01,11.94
2005-12-02,10.61
2005-12-03,11.13
2005-12-04,13.66
2005-12-05,13.93
2005-12-06,12.61
2005-12-07,11.30
2005-12-08,10.80
2005-12-09,12.58
2005-12-10,15.90
2005-12-11,16.74
2005-12-12,17.41
2005-12-13,21.08
2005-12-14,26.73
2005-12-15,33.67
2005-12-16,44.50
2005-12-17,49.58
2005-12-18,48.89
2005-12-19,46.42
2005-12-20,43.98
2005-12-21,41.66
2005-12-22,39.27
2005-12-23,37.02
2005-12-24,34.81
2005-12-25,32.81
2005-12-26,32.04
2005-12-27,35.06
2005-12-28,40.59
2005-12-29,43.87
2005-12-30,46.53
2005-12-31,47.19
2006-01-01,45.99
2006-01-02,43.77
2006-01-03,41.66
2006-01-04,39.64
2006-01-05,37.73
2006-01-06,35.73
2006-01-07,33.99
2006-01-08,33.04
2006-01-09,32.57
2006-01-10,30.99
2006-01-11,29.34
2006-01-12,27.71
2006-01-13,26.23
2006-01-14,24.76
2006-01-15,23.32
2006-01-16,22.01
2006-01-17,20.68
2006-01-18,19.37
2006-01-19,18.14
2006-01-20,16.95
2006-01-21,15.87
2006-01-22,14.81
2006-01-23,13.83
2006-01-24,12.84
2006-01-25,11.97
2006-01-26,11.16
2006-01-27,10.43
2006-01-28,9.84
2006-01-29,9.30
2006-01-30,8.84
2006-01-31,8.44
2006-02-01,8.10
2006-02-02,7.81
2006-02-03,7.53
2006-02-04,7.32
2006-02-05,7.09
2006-02-06,6.91
2006-02-07,6.73
2006-02-08,6.59
2006-02-09,6.46
2006-02-10,6.35
2006-02-11,6.28
2006-02-12,6.21
2006-02-13,6.19
2006-02-14,6.16
2006-02-15,6.06
2006-02-16,6.03
2006-02-17,6.00
2006-02-18,5.93
2006-02-19,5.87
2006-02-20,5.78
2006-02-21,5.71
2006-02-22,5.65
2006-02-23,5.62
2006-02-24,5.65
2006-02-25,5.71
2006-02-26,5.71
2006-02-27,5.87
2006-02-28,6.16
2006-03-01,6.69
2006-03-02,7.09
2006-03-03,7.09
2006-03-04,6.82
2006-03-05,6.46
2006-03-06,6.28
2006-03-07,6.59
2006-03-08,6.94
2006-03-09,7.04
2006-03-10,7.22
2006-03-11,8.31
2006-03-12,11.76
2006-03-13,14.81
2006-03-14,14.00
2006-03-15,12.77
2006-03-16,12.27
2006-03-17,12.24
2006-03-18,12.06
2006-03-19,12.27
2006-03-20,13.22
2006-03-21,13.69
2006-03-22,13.13
2006-03-23,12.21
2006-03-24,11.42
2006-03-25,10.69
2006-03-26,10.07
2006-03-27,9.79
2006-03-28,11.76
2006-03-29,14.67
2006-03-30,14.21
2006-03-31,13.09
2006-04-01,13.55
2006-04-02,15.29
2006-04-03,16.82
2006-04-04,17.75
2006-04-05,16.99
2006-04-06,15.48
2006-04-07,14.17
2006-04-08,13.03
2006-04-09,12.24
2006-04-10,11.65
2006-04-11,11.71
2006-04-12,12.15
2006-04-13,11.88
2006-04-14,11.59
2006-04-15,11.22
2006-04-16,10.75
2006-04-17,10.43
2006-04-18,11.25
2006-04-19,13.62
2006-04-20,14.89
2006-04-21,14.38
2006-04-22,13.16
2006-04-23,11.94
2006-04-24,10.99
2006-04-25,10.35
2006-04-26,9.91
2006-04-27,9.52
2006-04-28,9.26
2006-04-29,9.12
2006-04-30,9.07
2006-05-01,8.91
2006-05-02,8.68
2006-05-03,8.46
2006-05-04,8.31
2006-05-05,8.29
2006-05-06,8.29
2006-05-07,8.23
2006-05-08,8.04
2006-05-09,7.85
2006-05-10,7.69
2006-05-11,7.57
2006-05-12,7.47
2006-05-13,7.43
2006-05-14,7.38
2006-05-15,7.28
2006-05-16,7.24
2006-05-17,7.18
2006-05-18,7.13
2006-05-19,7.05
2006-05-20,7.00
2006-05-21,6.91
2006-05-22,6.85
2006-05-23,6.78
2006-05-24,6.74
2006-05-25,6.69
2006-05-26,6.66
2006-05-27,6.59
2006-05-28,6.53
2006-05-29,6.46
2006-05-30,6.43
2006-05-31,6.38
2006-06-01,6.31
2006-06-02,6.28
2006-06-03,6.21
2006-06-04,6.19
2006-06-05,6.13
2006-06-06,6.06
2006-06-07,6.00
2006-06-08,5.93
2006-06-09,5.90
2006-06-10,5.84
2006-06-11,5.81
2006-06-12,5.75
2006-06-13,5.71
2006-06-14,5.65
2006-06-15,5.62
2006-06-16,5.56
2006-06-17,5.50
2006-06-18,5.44
2006-06-19,5.41
2006-06-20,5.34
2006-06-21,5.31
2006-06-22,5.27
2006-06-23,5.22
2006-06-24,5.17
2006-06-25,5.14
2006-06-26,5.10
2006-06-27,5.03
2006-06-28,4.98
2006-06-29,4.96
2006-06-30,4.90
2006-07-01,4.86
2006-07-02,4.81
2006-07-03,4.77
2006-07-04,4.71
2006-07-05,4.68
2006-07-06,4.62
2006-07-07,4.57
2006-07-08,4.53
2006-07-09,4.47
2006-07-10,4.42
2006-07-11,4.37
2006-07-12,4.33
2006-07-13,4.28
2006-07-14,4.25
2006-07-15,4.20
2006-07-16,4.15
2006-07-17,4.11
2006-07-18,4.08
2006-07-19,4.01
2006-07-20,3.97
2006-07-21,3.92
2006-07-22,3.88
2006-07-23,3.84
2006-07-24,3.80
2006-07-25,3.76
2006-07-26,3.72
2006-07-27,3.67
2006-07-28,3.65
2006-07-29,3.59
2006-07-30,3.56
2006-07-31,3.53
2006-08-01,3.50
2006-08-02,3.47
2006-08-03,3.44
2006-08-04,3.43
2006-08-05,3.41
2006-08-06,3.38
2006-08-07,3.35
2006-08-08,3.30
2006-08-09,3.25
2006-08-10,3.21
2006-08-11,3.17
2006-08-12,3.14
2006-08-13,3.11
2006-08-14,3.05
2006-08-15,3.02
2006-08-16,2.98
2006-08-17,2.94
2006-08-18,2.91
2006-08-19,2.88
2006-08-20,2.84
2006-08-21,2.79
2006-08-22,2.78
2006-08-23,2.78
2006-08-24,2.74
2006-08-25,2.71
2006-08-26,2.68
2006-08-27,2.64
2006-08-28,2.60
2006-08-29,2.58
2006-08-30,2.58
2006-08-31,2.56
2006-09-01,2.52
2006-09-02,2.48
2006-09-03,2.44
2006-09-04,2.42
2006-09-05,2.47
2006-09-06,2.68
2006-09-07,2.99
2006-09-08,3.01
2006-09-09,2.85
2006-09-10,2.69
2006-09-11,2.55
2006-09-12,2.45
2006-09-13,2.37
2006-09-14,2.31
