latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-22.474998,148.875,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2005-01-01,0.09
2005-01-02,0.11
2005-01-03,0.12
2005-01-04,0.14
2005-01-05,0.16
2005-01-06,0.16
2005-01-07,0.19
2005-01-08,1.16
2005-01-09,8.20
2005-01-10,13.69
2005-01-11,11.33
2005-01-12,7.53
2005-01-13,4.61
2005-01-14,2.78
2005-01-15,1.74
2005-01-16,1.16
2005-01-17,0.81
2005-01-18,0.61
2005-01-19,0.47
2005-01-20,0.39
2005-01-21,0.33
2005-01-22,0.30
2005-01-23,0.31
2005-01-24,2.03
2005-01-25,11.65
2005-01-26,20.43
2005-01-27,23.04
2005-01-28,21.44
2005-01-29,16.86
2005-01-30,12.27
2005-01-31,8.46
2005-02-01,5.64
2005-02-02,3.66
2005-02-03,2.33
2005-02-04,1.52
2005-02-05,1.03
2005-02-06,0.73
2005-02-07,0.55
2005-02-08,0.42
2005-02-09,0.34
2005-02-10,0.28
2005-02-11,0.52
2005-02-12,4.42
2005-02-13,7.69
2005-02-14,5.78
2005-02-15,3.46
2005-02-16,2.01
2005-02-17,1.25
2005-02-18,0.85
2005-02-19,0.59
2005-02-20,0.44
2005-02-21,0.34
2005-02-22,0.28
2005-02-23,0.22
2005-02-24,0.19
2005-02-25,0.16
2005-02-26,0.12
2005-02-27,0.12
2005-02-28,0.09
2005-03-01,0.09
2005-03-02,0.09
2005-03-03,0.06
2005-03-04,0.06
2005-03-05,0.06
2005-03-06,0.06
2005-03-07,0.06
2005-03-08,0.03
2005-03-09,0.03
2005-03-10,0.03
2005-03-11,0.03
2005-03-12,0.03
2005-03-13,0.03
2005-03-14,0.03
2005-03-15,0.03
2005-03-16,0.03
2005-03-17,0.03
2005-03-18,0.03
2005-03-19,0.03
2005-03-20,0.03
2005-03-21,0.03
2005-03-22,0.03
2005-03-23,0.03
2005-03-24,0.03
2005-03-25,0.03
2005-03-26,0.03
2005-03-27,0.03
2005-03-28,0.03
2005-03-29,0.03
2005-03-30,0.03
2005-03-31,0.03
2005-04-01,0.03
2005-04-02,0.03
2005-04-03,0.00
2005-04-04,0.00
2005-04-05,0.00
2005-04-06,0.00
2005-04-07,0.00
2005-04-08,0.00
2005-04-09,0.00
2005-04-10,0.00
2005-04-11,0.00
2005-04-12,0.03
2005-04-13,0.03
2005-04-14,0.03
2005-04-15,0.03
2005-04-16,0.03
2005-04-17,0.03
2005-04-18,0.03
2005-04-19,0.03
2005-04-20,0.03
2005-04-21,0.03
2005-04-22,0.03
2005-04-23,0.03
2005-04-24,0.03
2005-04-25,0.03
2005-04-26,0.03
2005-04-27,0.03
2005-04-28,0.03
2005-04-29,0.03
2005-04-30,0.03
2005-05-01,0.03
2005-05-02,0.03
2005-05-03,0.03
2005-05-04,0.03
2005-05-05,0.00
2005-05-06,0.00
2005-05-07,0.00
2005-05-08,0.00
2005-05-09,0.00
2005-05-10,0.00
2005-05-11,0.00
2005-05-12,0.00
2005-05-13,0.00
2005-05-14,0.00
2005-05-15,0.03
2005-05-16,0.03
2005-05-17,0.03
2005-05-18,0.06
2005-05-19,0.06
2005-05-20,0.06
2005-05-21,0.09
2005-05-22,0.09
2005-05-23,0.09
2005-05-24,0.09
2005-05-25,0.09
2005-05-26,0.09
2005-05-27,0.06
2005-05-28,0.06
2005-05-29,0.06
2005-05-30,0.06
2005-05-31,0.06
2005-06-01,0.06
2005-06-02,0.03
