latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
57.225006,-104.524994,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2005-01-01,2.60
2005-01-02,2.60
2005-01-03,2.58
2005-01-04,2.56
2005-01-05,2.55
2005-01-06,2.53
2005-01-07,2.53
2005-01-08,2.55
2005-01-09,2.58
2005-01-10,2.58
2005-01-11,2.56
2005-01-12,2.53
2005-01-13,2.52
2005-01-14,2.50
2005-01-15,2.48
2005-01-16,2.48
2005-01-17,2.48
2005-01-18,2.47
2005-01-19,2.45
2005-01-20,2.42
2005-01-21,2.42
2005-01-22,2.47
2005-01-23,2.50
2005-01-24,2.53
2005-01-25,2.55
2005-01-26,2.48
2005-01-27,2.37
2005-01-28,2.28
2005-01-29,2.27
2005-01-30,2.28
2005-01-31,2.28
2005-02-01,2.30
2005-02-02,2.30
2005-02-03,2.28
2005-02-04,2.28
2005-02-05,2.28
2005-02-06,2.28
2005-02-07,2.25
2005-02-08,2.21
2005-02-09,2.17
2005-02-10,2.17
2005-02-11,2.17
2005-02-12,2.16
2005-02-13,2.11
2005-02-14,2.09
2005-02-15,2.09
2005-02-16,2.11
2005-02-17,2.11
2005-02-18,2.11
2005-02-19,2.06
2005-02-20,2.03
2005-02-21,2.03
2005-02-22,2.03
2005-02-23,2.00
2005-02-24,1.94
2005-02-25,1.90
2005-02-26,1.88
2005-02-27,1.84
2005-02-28,1.81
2005-03-01,1.78
2005-03-02,1.75
2005-03-03,1.75
2005-03-04,1.75
2005-03-05,1.75
2005-03-06,1.78
2005-03-07,1.78
2005-03-08,1.75
2005-03-09,1.72
2005-03-10,1.62
2005-03-11,1.59
2005-03-12,1.62
2005-03-13,1.62
2005-03-14,1.62
2005-03-15,1.62
2005-03-16,1.62
2005-03-17,1.59
2005-03-18,1.56
2005-03-19,1.53
2005-03-20,1.53
2005-03-21,1.50
2005-03-22,1.47
2005-03-23,1.47
2005-03-24,1.44
2005-03-25,1.38
2005-03-26,1.31
2005-03-27,1.34
2005-03-28,1.38
2005-03-29,1.38
2005-03-30,1.34
2005-03-31,1.19
2005-04-01,1.09
2005-04-02,1.06
2005-04-03,1.12
2005-04-04,1.19
2005-04-05,1.38
2005-04-06,1.78
2005-04-07,2.37
2005-04-08,3.79
2005-04-09,4.41
2005-04-10,4.31
2005-04-11,3.91
2005-04-12,3.94
2005-04-13,3.88
2005-04-14,3.66
2005-04-15,3.62
2005-04-16,3.62
2005-04-17,3.91
2005-04-18,4.25
2005-04-19,4.19
2005-04-20,4.25
2005-04-21,4.60
2005-04-22,5.00
2005-04-23,5.75
2005-04-24,6.38
2005-04-25,6.82
2005-04-26,7.05
2005-04-27,6.91
2005-04-28,6.50
2005-04-29,6.06
2005-04-30,5.56
2005-05-01,5.10
2005-05-02,4.69
2005-05-03,4.37
2005-05-04,4.31
2005-05-05,4.50
2005-05-06,5.41
2005-05-07,6.62
2005-05-08,7.65
2005-05-09,8.31
2005-05-10,8.46
2005-05-11,8.25
2005-05-12,7.81
2005-05-13,7.32
2005-05-14,6.87
2005-05-15,6.50
2005-05-16,6.19
2005-05-17,5.93
2005-05-18,5.71
2005-05-19,5.84
2005-05-20,6.41
2005-05-21,7.00
2005-05-22,7.32
2005-05-23,7.32
2005-05-24,7.32
2005-05-25,7.47
2005-05-26,7.63
2005-05-27,7.71
2005-05-28,7.59
2005-05-29,7.32
2005-05-30,6.96
2005-05-31,6.59
2005-06-01,6.24
2005-06-02,5.93
2005-06-03,5.68
2005-06-04,5.49
2005-06-05,5.30
2005-06-06,5.12
2005-06-07,4.96
2005-06-08,4.78
2005-06-09,4.62
2005-06-10,4.48
2005-06-11,4.36
2005-06-12,4.26
2005-06-13,4.18
2005-06-14,4.08
2005-06-15,3.97
2005-06-16,3.89
2005-06-17,3.80
2005-06-18,3.72
2005-06-19,3.84
2005-06-20,4.05
2005-06-21,4.22
2005-06-22,4.25
2005-06-23,5.00
2005-06-24,5.78
2005-06-25,6.21
2005-06-26,6.19
2005-06-27,5.79
2005-06-28,5.30
2005-06-29,4.85
2005-06-30,4.47
2005-07-01,4.19
2005-07-02,3.95
2005-07-03,3.76
2005-07-04,3.62
2005-07-05,3.52
2005-07-06,3.43
2005-07-07,3.35
2005-07-08,3.30
2005-07-09,3.25
2005-07-10,3.22
2005-07-11,3.21
2005-07-12,3.19
2005-07-13,3.19
2005-07-14,3.21
2005-07-15,3.21
2005-07-16,3.33
2005-07-17,3.66
2005-07-18,4.09
2005-07-19,4.98
2005-07-20,5.78
2005-07-21,6.19
2005-07-22,6.05
2005-07-23,5.84
2005-07-24,7.39
2005-07-25,9.62
2005-07-26,11.11
2005-07-27,10.78
2005-07-28,9.52
2005-07-29,8.23
2005-07-30,7.11
2005-07-31,6.38
2005-08-01,5.92
2005-08-02,5.73
2005-08-03,5.84
2005-08-04,6.03
2005-08-05,6.03
2005-08-06,5.85
2005-08-07,5.90
2005-08-08,5.98
2005-08-09,5.97
2005-08-10,5.84
2005-08-11,5.73
2005-08-12,5.64
2005-08-13,5.62
2005-08-14,5.61
2005-08-15,5.90
2005-08-16,6.48
2005-08-17,6.89
2005-08-18,7.73
2005-08-19,8.62
2005-08-20,9.07
2005-08-21,8.93
2005-08-22,8.38
2005-08-23,7.75
2005-08-24,7.20
2005-08-25,7.18
2005-08-26,7.34
2005-08-27,7.41
2005-08-28,7.30
2005-08-29,7.02
2005-08-30,6.73
2005-08-31,6.45
2005-09-01,6.18
2005-09-02,5.93
2005-09-03,5.89
2005-09-04,5.98
2005-09-05,6.10
2005-09-06,6.14
2005-09-07,6.08
2005-09-08,5.92
2005-09-09,5.75
2005-09-10,5.62
2005-09-11,5.50
2005-09-12,5.47
2005-09-13,5.70
2005-09-14,6.06
2005-09-15,6.29
2005-09-16,6.28
2005-09-17,6.21
2005-09-18,6.13
2005-09-19,6.05
2005-09-20,6.03
2005-09-21,6.00
2005-09-22,5.93
2005-09-23,5.85
2005-09-24,5.78
2005-09-25,5.79
2005-09-26,5.89
2005-09-27,5.90
2005-09-28,5.87
2005-09-29,5.92
2005-09-30,5.97
2005-10-01,5.95
2005-10-02,5.89
2005-10-03,5.71
2005-10-04,5.52
2005-10-05,5.32
2005-10-06,5.15
2005-10-07,5.03
2005-10-08,5.01
2005-10-09,5.21
2005-10-10,5.68
2005-10-11,6.11
2005-10-12,6.33
2005-10-13,6.28
2005-10-14,6.13
2005-10-15,6.05
2005-10-16,6.05
2005-10-17,6.05
2005-10-18,6.05
2005-10-19,5.97
2005-10-20,5.81
2005-10-21,5.64
2005-10-22,5.50
2005-10-23,5.37
2005-10-24,5.25
2005-10-25,5.21
2005-10-26,5.25
2005-10-27,5.31
2005-10-28,5.31
2005-10-29,5.25
2005-10-30,5.15
2005-10-31,5.04
2005-11-01,4.94
2005-11-02,4.86
2005-11-03,4.79
2005-11-04,4.73
2005-11-05,4.68
2005-11-06,4.62
2005-11-07,4.57
2005-11-08,4.55
2005-11-09,4.52
2005-11-10,4.50
2005-11-11,4.46
2005-11-12,4.42
2005-11-13,4.40
2005-11-14,4.38
2005-11-15,4.37
2005-11-16,4.37
2005-11-17,4.37
2005-11-18,4.36
2005-11-19,4.35
2005-11-20,4.40
2005-11-21,4.50
2005-11-22,4.60
2005-11-23,4.66
2005-11-24,4.66
2005-11-25,4.61
2005-11-26,4.56
2005-11-27,4.50
2005-11-28,4.45
2005-11-29,4.40
2005-11-30,4.35
2005-12-01,4.31
2005-12-02,4.27
2005-12-03,4.25
2005-12-04,4.22
2005-12-05,4.19
2005-12-06,4.18
2005-12-07,4.14
2005-12-08,4.11
2005-12-09,4.08
2005-12-10,4.06
2005-12-11,4.04
2005-12-12,4.00
2005-12-13,3.99
2005-12-14,3.95
2005-12-15,3.95
2005-12-16,3.92
2005-12-17,3.91
2005-12-18,3.89
2005-12-19,3.88
2005-12-20,3.84
2005-12-21,3.83
2005-12-22,3.81
2005-12-23,3.80
2005-12-24,3.79
2005-12-25,3.76
2005-12-26,3.75
2005-12-27,3.73
2005-12-28,3.72
2005-12-29,3.72
2005-12-30,3.70
2005-12-31,3.70
2006-01-01,3.69
2006-01-02,3.67
2006-01-03,3.67
2006-01-04,3.66
2006-01-05,3.65
2006-01-06,3.61
2006-01-07,3.59
2006-01-08,3.59
2006-01-09,3.59
2006-01-10,3.59
2006-01-11,3.59
2006-01-12,3.59
2006-01-13,3.58
2006-01-14,3.58
2006-01-15,3.56
2006-01-16,3.55
2006-01-17,3.55
2006-01-18,3.53
2006-01-19,3.53
2006-01-20,3.52
2006-01-21,3.52
2006-01-22,3.50
2006-01-23,3.50
2006-01-24,3.47
2006-01-25,3.47
2006-01-26,3.44
2006-01-27,3.44
2006-01-28,3.44
