latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-14.074997,-72.12499,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2005-01-01,49.70
2005-01-02,49.93
2005-01-03,50.88
2005-01-04,52.70
2005-01-05,54.08
2005-01-06,54.72
2005-01-07,54.72
2005-01-08,54.85
2005-01-09,55.10
2005-01-10,56.28
2005-01-11,57.08
2005-01-12,57.48
2005-01-13,57.48
2005-01-14,58.16
2005-01-15,59.53
2005-01-16,59.81
2005-01-17,58.98
2005-01-18,58.16
2005-01-19,58.16
2005-01-20,59.12
2005-01-21,59.67
2005-01-22,59.53
2005-01-23,58.84
2005-01-24,58.16
2005-01-25,57.75
2005-01-26,57.61
2005-01-27,57.48
2005-01-28,57.48
2005-01-29,58.29
2005-01-30,59.95
2005-01-31,60.09
2005-02-01,59.67
2005-02-02,60.24
2005-02-03,62.68
2005-02-04,63.86
2005-02-05,64.61
2005-02-06,64.61
2005-02-07,64.31
2005-02-08,64.61
2005-02-09,64.61
2005-02-10,64.61
2005-02-11,65.07
2005-02-12,65.53
2005-02-13,66.61
2005-02-14,66.92
2005-02-15,66.76
2005-02-16,66.76
2005-02-17,66.14
2005-02-18,66.30
2005-02-19,66.76
2005-02-20,66.45
2005-02-21,66.92
2005-02-22,67.55
2005-02-23,68.02
2005-02-24,68.18
2005-02-25,68.02
2005-02-26,67.71
2005-02-27,68.02
2005-02-28,68.82
2005-03-01,69.31
2005-03-02,69.96
2005-03-03,70.61
2005-03-04,71.28
2005-03-05,71.95
2005-03-06,71.95
2005-03-07,71.28
2005-03-08,71.78
2005-03-09,72.62
2005-03-10,73.13
2005-03-11,72.96
2005-03-12,73.13
2005-03-13,75.03
2005-03-14,76.45
2005-03-15,78.07
2005-03-16,78.25
2005-03-17,78.62
2005-03-18,79.17
2005-03-19,79.35
2005-03-20,79.35
2005-03-21,79.72
2005-03-22,79.54
2005-03-23,79.35
2005-03-24,79.17
2005-03-25,78.98
2005-03-26,78.07
2005-03-27,77.34
2005-03-28,76.62
2005-03-29,75.91
2005-03-30,75.38
2005-03-31,74.86
2005-04-01,74.86
2005-04-02,74.68
2005-04-03,74.34
2005-04-04,73.99
2005-04-05,73.64
2005-04-06,73.30
2005-04-07,72.79
2005-04-08,72.28
2005-04-09,71.61
2005-04-10,70.94
2005-04-11,69.79
2005-04-12,68.34
2005-04-13,67.08
2005-04-14,65.83
2005-04-15,65.07
2005-04-16,64.16
2005-04-17,63.27
2005-04-18,62.24
2005-04-19,60.94
2005-04-20,59.53
2005-04-21,58.16
2005-04-22,57.34
2005-04-23,56.81
2005-04-24,55.75
2005-04-25,54.72
2005-04-26,53.70
2005-04-27,52.70
2005-04-28,51.60
2005-04-29,50.52
2005-04-30,49.47
2005-05-01,48.55
2005-05-02,47.87
2005-05-03,47.08
2005-05-04,46.21
2005-05-05,45.56
2005-05-06,44.71
2005-05-07,43.87
2005-05-08,42.95
2005-05-09,42.05
2005-05-10,41.17
2005-05-11,40.30
2005-05-12,39.46
2005-05-13,38.72
2005-05-14,37.99
2005-05-15,37.37
2005-05-16,36.76
2005-05-17,36.15
2005-05-18,35.90
2005-05-19,35.48
2005-05-20,34.81
2005-05-21,34.16
2005-05-22,33.59
2005-05-23,32.96
2005-05-24,32.42
2005-05-25,31.81
2005-05-26,31.28
2005-05-27,30.77
2005-05-28,30.33
2005-05-29,29.83
2005-05-30,29.41
2005-05-31,29.06
2005-06-01,28.65
2005-06-02,28.24
2005-06-03,27.97
2005-06-04,27.58
2005-06-05,27.38
2005-06-06,27.05
2005-06-07,26.80
2005-06-08,26.61
2005-06-09,26.29
2005-06-10,26.04
2005-06-11,25.85
2005-06-12,25.67
2005-06-13,25.49
2005-06-14,25.30
2005-06-15,25.18
2005-06-16,25.06
2005-06-17,24.94
2005-06-18,24.88
2005-06-19,24.76
2005-06-20,24.70
2005-06-21,24.53
2005-06-22,24.53
2005-06-23,24.41
2005-06-24,24.35
2005-06-25,24.29
2005-06-26,24.18
2005-06-27,24.18
2005-06-28,24.12
2005-06-29,24.00
2005-06-30,23.95
2005-07-01,23.95
2005-07-02,23.89
2005-07-03,23.77
2005-07-04,23.77
2005-07-05,23.72
2005-07-06,23.66
2005-07-07,23.66
2005-07-08,23.60
2005-07-09,23.60
2005-07-10,23.55
2005-07-11,23.49
2005-07-12,23.49
2005-07-13,23.43
2005-07-14,23.43
2005-07-15,23.38
2005-07-16,23.32
2005-07-17,23.27
2005-07-18,23.27
2005-07-19,23.21
2005-07-20,23.27
2005-07-21,23.10
2005-07-22,23.15
2005-07-23,23.10
2005-07-24,23.10
2005-07-25,23.04
2005-07-26,23.04
2005-07-27,22.99
2005-07-28,22.93
2005-07-29,22.93
2005-07-30,22.88
2005-07-31,22.88
2005-08-01,22.82
2005-08-02,22.82
2005-08-03,22.77
2005-08-04,22.77
2005-08-05,22.71
2005-08-06,22.71
2005-08-07,22.71
2005-08-08,22.66
2005-08-09,22.66
2005-08-10,22.60
2005-08-11,22.60
2005-08-12,22.55
2005-08-13,22.50
2005-08-14,22.50
2005-08-15,22.44
2005-08-16,22.44
2005-08-17,22.44
2005-08-18,22.33
2005-08-19,22.33
2005-08-20,22.33
2005-08-21,22.23
2005-08-22,22.28
2005-08-23,22.23
2005-08-24,22.17
2005-08-25,22.17
2005-08-26,22.12
2005-08-27,22.12
2005-08-28,22.07
2005-08-29,22.07
2005-08-30,22.01
2005-08-31,22.01
2005-09-01,21.96
2005-09-02,21.91
2005-09-03,21.91
2005-09-04,21.86
2005-09-05,21.86
2005-09-06,21.80
2005-09-07,21.80
2005-09-08,21.75
2005-09-09,21.75
2005-09-10,21.75
2005-09-11,21.75
2005-09-12,21.70
2005-09-13,21.70
2005-09-14,21.70
2005-09-15,21.65
2005-09-16,21.65
2005-09-17,21.59
2005-09-18,21.59
2005-09-19,21.54
2005-09-20,21.49
2005-09-21,21.49
2005-09-22,21.44
2005-09-23,21.44
2005-09-24,21.44
2005-09-25,21.44
2005-09-26,21.39
2005-09-27,21.34
2005-09-28,21.34
2005-09-29,21.28
2005-09-30,21.28
2005-10-01,21.23
2005-10-02,21.23
2005-10-03,21.28
2005-10-04,21.28
2005-10-05,21.34
2005-10-06,21.34
2005-10-07,21.49
2005-10-08,21.49
2005-10-09,21.54
2005-10-10,21.59
2005-10-11,21.59
2005-10-12,21.65
2005-10-13,21.59
2005-10-14,21.44
2005-10-15,21.34
2005-10-16,21.28
2005-10-17,21.34
2005-10-18,21.65
2005-10-19,21.75
2005-10-20,21.91
2005-10-21,22.01
2005-10-22,21.91
