latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-6.9749985,-78.524994,NaN,0,GMT,GMT

time,river_discharge (m³/s)
2005-01-01,2.44
2005-01-02,2.34
2005-01-03,2.30
2005-01-04,2.27
2005-01-05,3.47
2005-01-06,3.97
2005-01-07,3.02
2005-01-08,2.81
2005-01-09,2.56
2005-01-10,3.38
2005-01-11,5.31
2005-01-12,4.28
2005-01-13,3.29
2005-01-14,4.19
2005-01-15,3.21
2005-01-16,2.77
2005-01-17,2.53
2005-01-18,2.40
2005-01-19,2.31
2005-01-20,2.24
2005-01-21,2.17
2005-01-22,2.11
2005-01-23,2.06
2005-01-24,2.05
2005-01-25,4.01
2005-01-26,2.91
2005-01-27,2.47
2005-01-28,2.27
2005-01-29,2.27
2005-01-30,2.17
2005-01-31,2.11
2005-02-01,2.06
2005-02-02,2.62
2005-02-03,14.49
2005-02-04,9.30
2005-02-05,4.61
2005-02-06,3.29
2005-02-07,2.79
2005-02-08,9.62
2005-02-09,5.21
2005-02-10,5.27
2005-02-11,7.30
2005-02-12,9.67
2005-02-13,7.49
2005-02-14,4.52
2005-02-15,3.53
2005-02-16,3.14
2005-02-17,2.92
2005-02-18,2.81
2005-02-19,3.22
2005-02-20,3.59
2005-02-21,3.09
2005-02-22,2.85
2005-02-23,2.72
2005-02-24,2.62
2005-02-25,2.53
2005-02-26,2.47
2005-02-27,3.32
2005-02-28,3.66
2005-03-01,7.13
2005-03-02,6.38
2005-03-03,6.31
2005-03-04,6.82
2005-03-05,9.12
2005-03-06,6.31
2005-03-07,8.18
2005-03-08,6.57
2005-03-09,4.43
2005-03-10,8.89
2005-03-11,5.10
2005-03-12,4.28
2005-03-13,4.53
2005-03-14,4.94
2005-03-15,4.97
2005-03-16,4.85
2005-03-17,4.31
2005-03-18,5.15
2005-03-19,7.15
2005-03-20,7.79
2005-03-21,4.87
2005-03-22,4.13
2005-03-23,3.62
2005-03-24,3.79
2005-03-25,3.75
2005-03-26,3.53
2005-03-27,4.35
2005-03-28,5.71
2005-03-29,7.38
2005-03-30,6.66
2005-03-31,6.31
2005-04-01,4.90
2005-04-02,5.00
2005-04-03,5.81
2005-04-04,4.31
2005-04-05,3.72
2005-04-06,3.47
2005-04-07,3.32
2005-04-08,3.22
2005-04-09,3.12
2005-04-10,3.03
2005-04-11,2.97
2005-04-12,2.94
2005-04-13,2.87
2005-04-14,2.81
2005-04-15,2.75
2005-04-16,2.69
2005-04-17,2.62
2005-04-18,2.60
2005-04-19,2.53
2005-04-20,14.45
2005-04-21,16.30
2005-04-22,7.41
2005-04-23,4.69
2005-04-24,3.72
2005-04-25,3.32
2005-04-26,3.19
2005-04-27,3.59
2005-04-28,3.84
2005-04-29,3.35
2005-04-30,3.16
2005-05-01,2.97
2005-05-02,3.12
2005-05-03,2.94
2005-05-04,2.81
2005-05-05,2.72
2005-05-06,3.16
2005-05-07,2.87
2005-05-08,2.72
2005-05-09,2.62
2005-05-10,2.56
2005-05-11,2.47
2005-05-12,2.40
2005-05-13,2.34
2005-05-14,2.31
2005-05-15,2.25
2005-05-16,2.25
2005-05-17,2.22
2005-05-18,2.18
2005-05-19,2.18
2005-05-20,2.13
2005-05-21,2.09
2005-05-22,2.03
2005-05-23,2.00
2005-05-24,1.94
2005-05-25,1.90
2005-05-26,1.88
2005-05-27,1.88
2005-05-28,1.81
2005-05-29,1.78
2005-05-30,1.75
2005-05-31,1.72
2005-06-01,1.69
2005-06-02,1.65
2005-06-03,1.62
2005-06-04,1.59
2005-06-05,1.56
2005-06-06,1.55
2005-06-07,1.53
2005-06-08,1.50
2005-06-09,1.47
2005-06-10,1.45
2005-06-11,1.42
2005-06-12,1.40
2005-06-13,1.39
2005-06-14,1.36
2005-06-15,1.34
2005-06-16,1.31
2005-06-17,1.30
2005-06-18,1.26
2005-06-19,1.25
2005-06-20,1.23
2005-06-21,1.22
2005-06-22,1.20
2005-06-23,1.19
2005-06-24,1.17
2005-06-25,1.16
2005-06-26,1.12
2005-06-27,1.11
2005-06-28,1.09
2005-06-29,1.08
2005-06-30,1.08
2005-07-01,1.06
2005-07-02,1.05
2005-07-03,1.03
2005-07-04,1.01
2005-07-05,1.00
2005-07-06,1.00
2005-07-07,0.99
2005-07-08,0.97
2005-07-09,0.95
2005-07-10,0.94
2005-07-11,0.92
2005-07-12,0.91
2005-07-13,0.89
2005-07-14,0.89
2005-07-15,0.87
2005-07-16,0.86
2005-07-17,0.86
2005-07-18,0.86
2005-07-19,0.86
2005-07-20,0.86
2005-07-21,0.86
2005-07-22,0.85
2005-07-23,0.83
2005-07-24,0.81
2005-07-25,0.81
2005-07-26,0.80
2005-07-27,0.80
2005-07-28,0.78
2005-07-29,0.77
2005-07-30,0.77
2005-07-31,0.75
2005-08-01,0.73
2005-08-02,0.73
2005-08-03,0.72
2005-08-04,0.72
2005-08-05,0.70
2005-08-06,0.70
2005-08-07,0.69
2005-08-08,0.69
2005-08-09,0.67
2005-08-10,0.67
2005-08-11,0.67
2005-08-12,0.66
2005-08-13,0.65
2005-08-14,0.65
2005-08-15,0.64
2005-08-16,0.63
2005-08-17,0.63
2005-08-18,0.63
2005-08-19,0.62
2005-08-20,0.61
2005-08-21,0.60
2005-08-22,0.60
2005-08-23,0.63
2005-08-24,0.65
2005-08-25,0.66
2005-08-26,0.66
2005-08-27,0.67
2005-08-28,0.67
2005-08-29,0.66
2005-08-30,0.66
2005-08-31,0.66
2005-09-01,0.67
2005-09-02,0.69
2005-09-03,0.69
2005-09-04,0.68
2005-09-05,0.68
2005-09-06,0.67
2005-09-07,0.66
2005-09-08,0.66
2005-09-09,0.66
2005-09-10,0.66
2005-09-11,0.65
2005-09-12,0.65
2005-09-13,0.65
2005-09-14,0.66
2005-09-15,0.68
2005-09-16,0.67
2005-09-17,0.66
2005-09-18,0.66
2005-09-19,0.65
2005-09-20,0.64
2005-09-21,0.63
2005-09-22,0.63
2005-09-23,0.64
2005-09-24,0.66
2005-09-25,0.80
2005-09-26,1.40
2005-09-27,1.06
2005-09-28,0.93
2005-09-29,0.88
2005-09-30,0.87
2005-10-01,0.86
2005-10-02,1.24
2005-10-03,1.13
2005-10-04,2.33
2005-10-05,1.48
2005-10-06,1.78
2005-10-07,4.35
2005-10-08,5.08
2005-10-09,3.03
2005-10-10,2.37
2005-10-11,3.79
2005-10-12,3.46
2005-10-13,3.42
2005-10-14,3.41
2005-10-15,2.31
2005-10-16,1.89
2005-10-17,2.74
2005-10-18,3.45
2005-10-19,3.21
2005-10-20,3.23
2005-10-21,4.37
2005-10-22,5.43
2005-10-23,4.82
2005-10-24,5.30
2005-10-25,3.27
2005-10-26,2.55
2005-10-27,2.24
2005-10-28,2.85
2005-10-29,2.41
2005-10-30,2.31
2005-10-31,8.73
2005-11-01,5.01
2005-11-02,3.25
2005-11-03,2.63
2005-11-04,2.37
2005-11-05,2.24
2005-11-06,2.95
2005-11-07,4.61
2005-11-08,4.73
2005-11-09,4.11
2005-11-10,5.46
2005-11-11,9.62
2005-11-12,8.71
2005-11-13,5.04
2005-11-14,4.27
2005-11-15,3.33
2005-11-16,2.90
2005-11-17,2.68
2005-11-18,2.54
2005-11-19,2.44
2005-11-20,2.35
2005-11-21,2.30
2005-11-22,2.27
2005-11-23,2.21
2005-11-24,2.16
2005-11-25,2.10
2005-11-26,2.05
2005-11-27,2.01
2005-11-28,1.96
2005-11-29,1.91
2005-11-30,1.88
2005-12-01,1.84
2005-12-02,1.80
2005-12-03,1.77
2005-12-04,1.78
2005-12-05,1.78
2005-12-06,1.78
2005-12-07,1.75
2005-12-08,1.70
2005-12-09,1.67
2005-12-10,1.64
2005-12-11,1.64
2005-12-12,1.95
2005-12-13,2.83
2005-12-14,3.92
2005-12-15,3.92
2005-12-16,2.69
2005-12-17,2.22
2005-12-18,2.00
2005-12-19,1.88
2005-12-20,1.81
2005-12-21,2.61
2005-12-22,3.94
2005-12-23,5.73
2005-12-24,6.28
2005-12-25,7.00
2005-12-26,7.07
2005-12-27,5.05
2005-12-28,10.02
2005-12-29,4.81
2005-12-30,3.32
2005-12-31,2.78
2006-01-01,2.52
2006-01-02,2.37
2006-01-03,2.28
2006-01-04,2.21
2006-01-05,2.13
2006-01-06,2.08
2006-01-07,2.01
2006-01-08,1.97
2006-01-09,1.94
2006-01-10,1.90
2006-01-11,1.90
2006-01-12,1.86
2006-01-13,1.82
2006-01-14,2.09
2006-01-15,2.45
2006-01-16,2.94
2006-01-17,3.53
2006-01-18,3.67
2006-01-19,4.73
2006-01-20,3.11
2006-01-21,2.52
2006-01-22,2.27
2006-01-23,2.62
2006-01-24,2.44
2006-01-25,2.22
2006-01-26,2.13
2006-01-27,2.03
2006-01-28,2.03
2006-01-29,2.16
2006-01-30,2.87
2006-01-31,3.41
2006-02-01,13.29
2006-02-02,8.68
2006-02-03,5.12
2006-02-04,8.82
2006-02-05,7.13
2006-02-06,8.18
2006-02-07,6.13
2006-02-08,4.04
2006-02-09,3.32
2006-02-10,4.47
2006-02-11,3.72
2006-02-12,4.66
2006-02-13,3.56
2006-02-14,3.09
2006-02-15,2.91
2006-02-16,2.78
2006-02-17,2.66
2006-02-18,2.60
2006-02-19,3.06
2006-02-20,3.69
2006-02-21,3.59
2006-02-22,4.15
2006-02-23,5.50
2006-02-24,4.06
2006-02-25,5.00
2006-02-26,8.18
2006-02-27,6.69
2006-02-28,5.62
2006-03-01,4.60
2006-03-02,4.69
2006-03-03,5.22
2006-03-04,5.07
2006-03-05,7.91
2006-03-06,10.61
