"Date","Open","High","Low","Close","Volume"
"10/2025","83.09","97.79","80.53","88.13","90,817,068"
"09/2025","74.41","89.13","73.2","83.86","101,237,052"
"08/2025","72.91","83.02","68.96","77.39","83,850,333"
"07/2025","73.57","80.32","69.3201","74.93","109,299,405"
"06/2025","58.8","75.42","58.18","74.23","123,589,804"
"05/2025","46","62.27","44.52","58.53","117,175,376"
"04/2025","41.85","45.98","35","45.15","83,938,053"
"03/2025","44.64","46.21","39.31","41.16","80,139,438"
"02/2025","47.44","51.25","42.36","44.04","84,370,774"
"01/2025","51.27","58.328","46.535","49.44","99,350,171"
"12/2024","60.1","62.55","50.85","51.39","67,553,610"
"11/2024","53.04","60.98","50.16","59.45","94,774,124"
"10/2024","48.07","58.72","47.64","52.22","108,099,878"
"09/2024","40","49.28","35.89","47.76","91,816,256"
"08/2024","44.35","44.445","35.43","40.84","100,546,941"
"07/2024","49.68","54.21","43.57","45.49","70,725,308"
"06/2024","55.73","56.0796","48.81","49.2","54,619,207"
"05/2024","47.67","56.24","46.63","55.51","81,179,164"
"04/2024","44.5","52.64","44.225","45.63","102,677,064"
"03/2024","40.68","44.47","39.02","43.32","85,602,656"
"02/2024","49.91","51.33","39.7363","40.53","116,497,525"
"01/2024","43.05","51.22","41.17","47.75","118,197,914"
"12/2023","45.72","46.95","42.64","43.1","96,463,928"
"11/2023","41.46","46.09","39.65","45.92","98,758,311"
"10/2023","39.65","41.51","35.18","40.91","126,492,602"
"09/2023","37.37","42.165","35.9","39.64","104,213,078"
"08/2023","34.85","37.4","31.58","37","92,134,170"
"07/2023","31.23","35.235","29.1725","35.16","73,664,869"
"06/2023","27.99","32.998","27.99","31.33","117,863,212"
"05/2023","27.47","29.06","26.15","27.84","84,099,462"
"04/2023","26.64","27.675","24.64","27.49","65,741,094"
"03/2023","27.38","28.58","23.69","26.17","97,683,438"
"02/2023","27.96","29.7299","26.47","27.34","92,227,737"
"01/2023","22.72","28.235","22.16","28.01","91,360,007"
"12/2022","24.53","24.74","21.22","22.67","89,450,481"
"11/2022","24.35","25.14","22.335","24.38","93,547,653"
"10/2022","27.26","28.43","21.02","23.72","203,395,120"
"09/2022","28.65","31.29","24.66","26.51","137,685,773"
"08/2022","25.4","29.95","21.97","29.15","140,311,037"
"07/2022","20.85","25.88","20.35","25.77","103,097,827"
"06/2022","24.59","28.28","20.34","21.02","145,435,359"
"05/2022","25.32","27.6097","20.015","24.47","160,677,576"
"04/2022","29.49","32.49","25.21","25.81","161,441,063"
"03/2022","25","30.49","22.29","29.1","250,524,037"
"02/2022","19.68","24.73","19.04","24.58","124,883,711"
"01/2022","22.61","26.54","18.03","19.43","143,085,681"
"12/2021","23.7","23.86","20.02","21.81","97,408,066"
"11/2021","24.58","28.49","22.8","23.18","117,957,948"
"10/2021","21.85","27.42","20.96","24.3","160,804,806"
"09/2021","18.65","26.57","18.569","21.73","257,510,786"
"08/2021","18.13","18.63","15.34","18.52","64,906,713"
"07/2021","19.51","19.74","16","17.8","76,778,401"
"06/2021","20.15","21.95","18.41","19.18","104,394,683"
"05/2021","17.02","20.87","16.97","19.97","104,827,978"
"04/2021","17.02","18.55","15.49","16.81","87,925,749"
"03/2021","16.06","19.71","14.5","16.61","167,266,433"
"02/2021","12.6","17.18","12.485","15.66","145,292,524"
"01/2021","13.46","14.87","12.16","12.42","97,064,333"
"12/2020","10.19","14.415","9.78","13.4","111,390,348"
"11/2020","9.55","10.37","9.01","10.02","43,448,333"
"10/2020","10.1","10.12","9.24","9.51","36,607,891"
"09/2020","11.63","11.69","9.91","10.1","38,129,029"
"08/2020","10.22","11.8","10.05","11.57","43,662,971"
"07/2020","10.24","12.33","9.985","10.16","74,373,064"
"06/2020","10.87","10.98","9.645","10.25","52,058,502"
"05/2020","9.81","11.26","9.66","10.87","61,039,220"
"04/2020","7.54","10.41","7.3601","9.96","89,214,531"
"03/2020","8.71","8.87","5.301","7.64","91,241,903"
"02/2020","8.07","9.59","8","8.68","50,896,971"
"01/2020","8.9","9.34","8.05","8.07","47,703,027"
"12/2019","9.17","9.83","8.61","8.9","48,044,110"
"11/2019","8.72","10.09","8.71","9.25","29,738,853"
"10/2019","9.43","9.72","8.81","8.93","49,080,273"
"09/2019","8.65","9.81","8.63","9.5","43,514,054"
"08/2019","9.15","9.19","8.03","8.77","52,337,130"
"07/2019","10.76","11.19","8.985","9.19","65,312,932"
"06/2019","10.17","10.78","10.03","10.73","35,558,044"
"05/2019","10.86","11.11","9.91","10.09","48,094,479"
"04/2019","11.89","12.12","10.895","11.04","36,974,896"
"03/2019","11.66","12.59","11.29","11.79","33,466,810"
"02/2019","12.22","13.04","11.52","11.59","39,373,820"
"01/2019","11.09","12.47","10.95","12.12","40,473,663"
"12/2018","12.19","12.29","10.605","11.35","38,821,733"
"11/2018","10.83","12.78","10.7599","11.88","53,442,157"
"10/2018","11.49","12.3799","10.19","10.72","54,744,787"
"09/2018","10.33","11.96","9.385","11.4","49,881,044"
"08/2018","10.7","11.2948","10.13","10.41","34,307,852"
"07/2018","11.08","12.15","10.45","10.8","44,684,816"
"06/2018","10.4","12.19","10.36","11.25","50,472,070"
"05/2018","10.54","11.68","10.31","10.33","47,200,014"
"04/2018","9.05","10.67","9.02","10.53","52,364,874"
"03/2018","8.8","9.52","8.73","9.09","30,771,925"
"02/2018","9.2","9.48","8.34","8.82","43,221,909"
"01/2018","9.29","9.98","8.79","9.2","48,901,187"
"12/2017","9.46","11.18","9.15","9.23","48,227,365"
"11/2017","8.24","10.06","8.18","9.38","51,929,802"
"10/2017","9.65","9.86","7.68","8.14","55,440,930"
"09/2017","10.09","10.35","9.59","9.67","31,977,574"
"08/2017","10.28","10.34","9.55","10.03","40,895,753"
"07/2017","9.12","10.68","9.08","10.25","38,069,309"
"06/2017","9.23","9.7","8.95","9.1","42,475,820"
"05/2017","9.61","10.11","9.03","9.22","45,599,276"
"04/2017","11.08","11.91","9.33","9.59","45,623,328"
"03/2017","11.18","11.38","10.55","11.07","57,380,222"
"02/2017","11.42","12.37","10.34","11.09","76,576,380"
"01/2017","10.5","13.36","10.23","12.75","102,816,334"
"12/2016","9.29","10.895","9.29","10.47","64,115,229"
"11/2016","7.74","9.425","7.41","9.19","67,684,581"
"10/2016","8.56","8.62","7.45","7.7","49,394,323"
"09/2016","9.19","9.59","8.33","8.56","49,046,290"
"08/2016","9.55","9.92","9.075","9.22","40,583,506"
"07/2016","10.93","11.05","9.38","9.56","42,254,653"
"06/2016","11.56","12.425","10.41","10.97","34,335,840"
"05/2016","12.55","12.56","11.23","11.63","30,991,351"
"04/2016","12.58","13.5","11.84","12.51","41,750,432"
"03/2016","12.25","13.59","11.57","12.84","50,773,636"
"02/2016","12","12.535","10.41","12.11","31,664,430"
"01/2016","11.95","12.15","10.31","12.14","30,085,045"
"12/2015","12.2","12.61","11.2634","12.33","32,082,100"
"11/2015","13.55","13.99","11.92","12.22","32,685,067"
"10/2015","12.39","14.52","11.92","14.17","32,388,570"
"09/2015","13.75","14.59","11.6","12.17","41,760,746"
"08/2015","13.68","14.79","12.38","14.06","41,246,017"
"07/2015","14.33","14.6","12.88","13.72","47,267,878"
"06/2015","15.04","15.74","14.08","14.28","25,948,521"
"05/2015","17.54","17.57","14.68","14.99","39,278,030"
"04/2015","14.08","17.765","14.03","17.58","49,003,906"
"03/2015","15.31","15.413","13.62","13.93","34,352,116"
"02/2015","14.25","16.26","14.22","15.45","37,063,114"
"01/2015","16.34","16.56","13.63","14.02","40,884,895"
"12/2014","18.56","18.74","14.82","16.41","44,603,199"
"11/2014","17.25","19.97","16.13","18.59","45,573,770"
"10/2014","17.64","17.765","15.55","17.38","46,762,297"
"09/2014","19.23","19.955","17.495","17.66","38,469,259"
"08/2014","20.11","20.8301","18.99","19.57","29,716,360"
"07/2014","19.71","21.6699","18.861","20.16","38,606,198"
"06/2014","20.03","20.21","18.4901","19.61","30,455,228"
"05/2014","21.28","21.46","18.95","20","36,695,903"
"04/2014","22.9","24.98","20.42","21.29","47,763,631"
"03/2014","23.96","25.84","22.46","22.9","55,251,604"
"02/2014","20.95","24.5","19.74","24.26","67,423,924"
"01/2014","20.72","23.19","19.75","21.22","47,220,830"
"12/2013","20.27","21.3","19.945","20.77","29,559,108"
"11/2013","18.97","20.9299","18.47","20.51","32,852,968"
"10/2013","18.01","19.7","17.27","19","33,152,814"
"09/2013","19.28","20.69","18","18.07","21,373,432"
"08/2013","20.61","20.61","19.02","19.04","20,085,337"
"07/2013","20.79","22.36","20.28","20.32","26,618,406"
"06/2013","21.7","21.88","19.93","20.66","26,303,803"
"05/2013","18.65","22.83","18.44","21.67","34,666,884"
"04/2013","20.75","20.89","17.38","19.51","37,630,904"
"03/2013","21.18","21.78","20.34","20.78","28,869,996"
"02/2013","21.71","22.87","20.56","21.32","38,315,960"
"01/2013","20.22","21.89","19.32","21.55","32,525,194"
"12/2012","18.24","20.88","18.06","19.72","33,493,062"
"11/2012","18.82","18.86","16.41","18.18","39,369,894"
"10/2012","19.67","20.08","18.44","19.35","31,558,256"
"09/2012","21.71","22.75","19.2","19.45","34,963,632"
"08/2012","21.02","23.23","19.91","21.86","41,599,279"
"07/2012","21.87","22.92","20.88","20.9","39,177,956"
"06/2012","18.65","22.39","18.2","21.95","39,700,432"
"05/2012","22.62","23.84","18.3","19.17","56,372,539"
"04/2012","21.26","22.56","19.54","22.1","49,581,947"
"03/2012","24.55","25.06","20.71","21.49","64,612,000"
"02/2012","23.24","26.45","21.89","24.56","54,862,711"
"01/2012","18.68","24.08","18.4","23.27","56,046,646"
"12/2011","18.76","19.68","16.96","18.05","43,339,930"
"11/2011","20.52","21.86","16.59","18.94","55,355,651"
"10/2011","17.9","23.12","16.68","21.43","55,994,170"
"09/2011","23.5","23.82","17.46","18.32","44,804,769"
"08/2011","27.15","27.23","20.55","23.24","70,123,850"
"07/2011","26.53","28.68","24.9","26.56","39,275,378"
"06/2011","27.86","28.95","23.13","26.51","68,499,146"
"05/2011","29.44","31.25","26","28.06","62,497,459"
"04/2011","30.33","31.29","27.34","29.48","59,712,995"
"03/2011","40.82","41.43","28.08","30.04","183,751,413"
"02/2011","42.35","44.81","39.83","40.74","50,907,353"
"01/2011","40.94","41.834","36.95","41.47","46,618,582"
"12/2010","37.02","40.94","36.57","40.38","48,649,434"
"11/2010","31.18","38.56","30.9641","36.27","62,552,216"
"10/2010","27.96","31.35","27.4299","30.96","30,743,976"
"09/2010","24.81","27.88","24.68","27.73","26,112,438"
"08/2010","26.13","26.75","23.9299","24.37","39,954,470"
"07/2010","21.31","26.03","20.7","25.49","39,840,819"
"06/2010","24.21","24.34","21.26","21.28","43,475,793"
"05/2010","24.89","25.58","22.41","24.44","56,798,747"
"04/2010","27.64","27.67","24.25","24.61","41,979,470"
"03/2010","27.5","28.89","26.46","27.41","41,592,070"
"02/2010","27.39","29.651","25.31","27.48","46,583,409"
"01/2010","32.88","33.74","26.87","27.07","33,983,420"
"12/2009","29.19","33.1","28.82","32.17","39,694,635"
"11/2009","27.87","30.45","26.66","28.8","39,835,054"
"10/2009","27.84","32.17","25.62","27.21","52,069,740"
"09/2009","26.47","30.88","25.39","27.8","39,006,388"
"08/2009","28.17","29.66","26.02","26.58","32,572,424"
"07/2009","25.88","27.95","22.61","27.65","35,513,385"
"06/2009","28.03","29.6","23.23","25.6","54,611,917"
"05/2009","22.79","28.31","22.49","27.6","64,927,397"
"04/2009","16.92","23.47","16.35","22.79","56,811,644"
"03/2009","14.29","18.45","13.2","17.17","76,383,463"
"02/2009","16.3","17.5","12.85","14.58","74,396,954"
"01/2009","17.56","20.97","15.87","16.52","60,803,678"
"12/2008","17.14","18.8","13.5","17.25","58,674,844"
"11/2008","16.25","19.11","11.78","17.23","64,973,268"
"10/2008","22.46","22.62","12","16.22","129,093,157"
"09/2008","29.43","29.54","20.385","22.31","98,225,635"
"08/2008","35.93","36.16","27.56","30.08","70,130,192"
"07/2008","42.92","43.5","34.73","35.93","73,916,363"
"06/2008","40.97","43.6","36.33","42.87","65,650,299"
"05/2008","34.44","44","33.65","40.95","58,018,600"
"04/2008","32.56","38.87","32.56","34.99","52,634,225"
"03/2008","38.95","40.45","31.48","32.94","54,604,813"
"02/2008","33.81","40.63","31.21","39.25","70,442,088"
"01/2008","40.16","42.12","30.78","33.81","64,538,363"
"12/2007","41.4","41.4","34.98","39.81","50,930,601"
"11/2007","45.96","50.72","39.2","41.37","70,724,626"
"10/2007","46.24","52.33","41.23","49.05","70,049,327"
"09/2007","40.38","47.54","38.99","46.24","53,823,914"
"08/2007","40.4","41.2","34.22","40.38","78,769,898"
"07/2007","50.1","52.56","38.8","40.78","94,972,001"
"06/2007","52.24","56","46.75","50.74","59,829,036"
"05/2007","46.77","52.54","46.04","51.97","61,075,078"
"04/2007","41.1","48.63","40.19","46.62","73,880,665"
"03/2007","36.69","41.35","35.22","40.94","47,557,030"
"02/2007","38.31","39.7","35.79","37.01","45,159,384"
"01/2007","41.45","41.47","36.4","38.13","41,321,400"
"12/2006","38.26","41.25","37.8","40.45","41,127,300"
"11/2006","34.5","38.27","30.9","38.02","72,227,300"
"10/2006","36.3","39.47","31.98","35.13","67,331,400"
"09/2006","41.05","42.56","34.75","36.57","41,324,800"
"08/2006","39.9","41.45","37.35","40.95","31,126,700"
"07/2006","40.1","42.25","36.76","39.9","31,400,900"
"06/2006","40.63","44.67","34.01","39.97","57,555,000"
"05/2006","40.65","45.34","35.19","41.48","61,014,300"
"04/2006","36.3","43.44","36.3","40.65","38,452,600"
"03/2006","37.25","39.25","31.5","36","48,758,900"
"02/2006","41.075","41.075","33.475","37.12","76,038,900"
"01/2006","32.025","40.125","31.695","39.54","51,864,000"
"12/2005","28.485","32.2","28.33","31.695","38,108,800"
"11/2005","24.1","28.9","23.785","28.48","38,572,800"
"10/2005","26.66","28.12","23.045","23.9","47,670,600"
"09/2005","25.38","27.795","24.563","26.75","39,527,200"
"08/2005","23.455","25.8","21.675","25.175","37,129,200"
"07/2005","22.425","25.23","21.675","23.475","33,844,200"
"06/2005","20.75","22.675","19.875","22.375","33,708,800"
"05/2005","18.625","22.16","18.285","20.675","40,699,800"
"04/2005","22.42","22.89","17.9","19.44","46,335,400"
"03/2005","23","24.745","19.725","22.12","54,158,400"
"02/2005","17.25","24.46","17.18","22.805","45,807,000"
"01/2005","17.5417","18.6","15.425","17.175","44,096,205"
