"Date","Open","High","Low","Close","Volume"
"10/2025","223.84","225.635","188.35","190.1","18,396,771"
"09/2025","190.5","223.15","185.75","222.91","17,174,063"
"08/2025","162.75","189","160.21","188.35","13,975,927"
"07/2025","166","166.77","152.89","159.33","14,908,485"
"06/2025","172.25","179.99","159.33","163.92","18,465,242"
"05/2025","167.14","172","153.96","168.8","16,319,868"
"04/2025","157.45","178.74","140.03","171.78","26,699,536"
"03/2025","144.15","159.38","140.92","157.56","19,685,511"
"02/2025","135.47","144.27","135.16","142.94","12,649,035"
"01/2025","119.15","138.34","118.86","135.96","12,692,680"
"12/2024","122.68","125.46","114.805","117.59","12,345,443"
"11/2024","133.5","134.07","112.7","122.62","16,095,257"
"10/2024","124.58","137.6","118.75","132.66","15,057,577"
"09/2024","121","130.71","117.88","124.25","13,049,662"
"08/2024","128.62","129.49","113.95","122.15","12,606,320"
"07/2024","118.31","131.69","117.3301","128.96","10,488,648"
"06/2024","123.78","124.99","114.34","117.47","13,448,481"
"05/2024","121.16","129.84","119.32","123.8","12,096,478"
"04/2024","121","123.93","114.19","120.4","15,193,715"
"03/2024","105.38","119.82","104.7601","119.16","18,703,086"
"02/2024","109.27","111.92","103.64","104.86","13,128,704"
"01/2024","110.78","113.67","104.61","108.25","13,841,817"
"12/2023","112.25","113.98","102.29","110.81","18,630,821"
"11/2023","121.61","126.13","111.74","112.1","17,270,078"
"10/2023","132.01","142.6","120.55","121.55","13,375,147"
"09/2023","145.63","146.43","130.15","133.49","9,107,050"
"08/2023","143.41","146","134.1499","143.96","9,466,185"
"07/2023","142.6","149.0649","135.68","145.84","6,920,794"
"06/2023","145.55","151.63","135.27","142.6","9,700,293"
"05/2023","153.54","161.25","141.8975","145.39","10,732,462"
"04/2023","146.54","158.88","145.93","151.78","9,470,808"
"03/2023","129.45","146.73","129.11","145.8","19,289,796"
"02/2023","146.34","149.525","122.33","127.57","10,893,985"
"01/2023","137.54","150.98","137.49","146.7","11,767,240"
"12/2022","149.33","150","128.74","136.48","14,479,076"
"11/2022","126.35","146.73","116.495","146.12","13,421,037"
"10/2022","121.3","126.61","111.27","123.58","12,152,389"
"09/2022","118.6","128","109.7","119.48","13,181,309"
"08/2022","128.36","134.93","120.2","120.2","12,307,454"
"07/2022","130.13","135.1948","122.38","127.98","13,061,409"
"06/2022","143","148.028","129.05","134.59","13,419,368"
"05/2022","148.43","159.28","133.18","142.06","14,432,124"
"04/2022","159.07","169.32","149.68","151.16","11,328,497"
"03/2022","148.01","168.37","147.27","159.52","20,937,711"
"02/2022","133.29","151.84","129.55","147.12","13,003,124"
"01/2022","137","138.95","124.95","132.29","11,080,673"
"12/2021","138.42","139.57","126.98","138.29","13,437,012"
"11/2021","142.89","150.64","136.29","137.49","10,358,130"
"10/2021","130.5","147.43","126.04","142.83","11,222,886"
"09/2021","146.84","148.9","126.64","129.91","13,235,918"
"08/2021","159.91","163.7861","140.3","145.85","10,973,309"
"07/2021","146.27","160.445","143.69","159.91","11,497,971"
"06/2021","149.91","155.89","142.01","145.07","12,488,496"
"05/2021","141.09","154.16","140.39","149.61","9,989,102"
"04/2021","126.77","143.24","126.25","139.24","9,902,792"
"03/2021","107.7","126.3","105.62","125.29","23,148,887"
"02/2021","122.61","125.36","106.7508","107.02","12,987,128"
"01/2021","130.08","133.1499","118.77","119.33","11,414,249"
"12/2020","136.16","139.07","123.75","125.33","13,884,370"
"11/2020","137.8","151.48","123.96","133.04","15,934,434"
"10/2020","140.74","143.905","131.78","136.55","12,670,300"
"09/2020","153.12","153.27","134.74","139.58","16,591,742"
"08/2020","160.73","166.11","141.26","150.48","16,279,487"
"07/2020","139.53","165.98","136.371","159.85","16,425,015"
"06/2020","140.54","141.54","124.51","139.67","20,345,031"
"05/2020","130.08","152.7","128.64","140.58","21,198,479"
"04/2020","99.64","138.56","99.05","132.21","24,976,718"
"03/2020","108.5","122.31","77.18","99.52","36,195,343"
"02/2020","113.2","122.65","103.9994","107.5","14,599,492"
"01/2020","104","114.5","99.66","113.64","12,641,417"
"12/2019","98.29","104.07","96.26","103.3","11,317,277"
"11/2019","96.68","100.696","94.58","98.32","10,446,193"
"10/2019","90.35","97.73","90.09","96.97","11,615,157"
"09/2019","98.77","101.19","89.46","91.16","13,897,773"
"08/2019","85.88","99.14","85.44","97.66","14,857,862"
"07/2019","83.04","90.78","81.79","86.83","10,781,946"
"06/2019","78","86.81","75.934","84.88","11,240,804"
"05/2019","71.68","77.75","69.58","77.19","11,805,316"
"04/2019","75.18","76.34","69.16","71.68","10,317,139"
"03/2019","75.07","78.82","70.95","75.05","13,613,473"
"02/2019","77.66","77.84","73.45","75.39","9,089,203"
"01/2019","70.08","77.92","67.97","77.64","11,074,628"
"12/2018","70","74.17","68.64","70.17","14,482,584"
"11/2018","63.54","70.52","62.8","68.91","11,630,586"
"10/2018","62.43","67.73","60.47","62.43","17,719,196"
"09/2018","63.13","65.1","58.26","62.55","16,051,830"
"08/2018","73.16","73.73","63.63","63.99","13,166,402"
"07/2018","72.65","75.71","72.09","73.25","8,908,586"
"06/2018","70.44","73.48","68.47","73.02","11,157,135"
"05/2018","70.5","75.6","70.08","70.55","9,267,213"
"04/2018","69.06","73.5","66.84","70.96","11,914,413"
"03/2018","69.78","72.0395","66.19","68.39","16,243,536"
"02/2018","76.06","76.72","67.9004","70.06","14,369,736"
"01/2018","80.66","80.79","74.88","76.39","12,746,754"
"12/2017","81.52","81.92","74.87","79.95","15,313,565"
"11/2017","79.83","86.06","79.28","81.15","11,321,257"
"10/2017","77.44","81.6","76.76","79.44","10,777,454"
"09/2017","82.26","85.03","77.24","77.48","11,121,227"
"08/2017","72.34","82.66","71.76","81.82","13,579,846"
"07/2017","71.17","74.94","69.24","72.46","11,268,552"
"06/2017","73.85","76.27","70.02","72.16","12,612,343"
"05/2017","67.69","75.01","64.9","74.62","14,201,464"
"04/2017","65.34","70.3","64.96","68.12","13,832,520"
"03/2017","63.73","66.82","60.1","65.51","19,566,466"
"02/2017","64.11","69.06","63.59","64.61","11,351,192"
"01/2017","59.6","65.71","59.3","65.04","14,171,681"
"12/2016","57.85","62.64","53.31","59.76","21,597,604"
"11/2016","66.7","69.36","53.87","57.92","20,977,533"
"10/2016","69.56","70.18","61.76","65.46","14,268,971"
"09/2016","69.41","76.79","68.75","69.87","14,687,718"
"08/2016","76.86","81.16","68.68","69.82","13,539,706"
"07/2016","77.55","80.22","71.27","77.03","11,976,087"
"06/2016","63.81","76.38","63.19","76.06","21,594,894"
"05/2016","70.87","71.24","60.77","63.36","19,316,185"
"04/2016","59.55","71.48","59.52","70.16","19,869,917"
"03/2016","59.66","68.4","55.55","61.38","28,366,449"
"02/2016","45","62.09","43.33","59.59","36,686,480"
"01/2016","46.46","49.68","41.47","44.11","20,153,668"
"12/2015","47.96","50.87","44.79","45.75","15,909,515"
"11/2015","50.28","51.5","45.39","47.91","18,143,183"
"10/2015","44.4","55.47","42.66","50.69","28,538,748"
"09/2015","43.4","44.89","39.05","44.02","23,267,420"
"08/2015","40.25","48","39.16","43.36","30,448,844"
"07/2015","47.57","48.69","38.2","40.54","24,684,946"
"06/2015","51.94","52.194","47.4","47.65","14,512,949"
"05/2015","52.85","56.0427","50.66","51.48","14,308,930"
"04/2015","48.99","51.94","48.33","51.83","13,487,239"
"03/2015","52.71","53.61","45.93","48.54","17,232,058"
"02/2015","56.64","58.84","49.92","52.75","15,515,825"
"01/2015","48.22","58.67","47.84","57.6","22,345,402"
"12/2014","51.06","54.59","45.49","49.19","22,301,878"
"11/2014","46.92","56.38","44.66","50.02","19,791,813"
"10/2014","49.1","56.059","45.07","46.75","21,739,172"
"09/2014","55.34","56.71","47.8327","48.88","13,806,083"
"08/2014","56.81","61.47","54.8","56.29","10,970,549"
"07/2014","57.88","60.45","54.61","56.55","10,919,057"
"06/2014","46.06","57.39","45.5","57.34","9,178,084"
"05/2014","47.86","50.02","45.28","46.54","8,962,229"
"04/2014","46.08","49.25","44.54","48.17","12,513,744"
"03/2014","52.37","53.39","45","45.86","15,768,832"
"02/2014","48.86","53.7","47.1639","51.15","14,094,900"
"01/2014","41.2","49.41","40.67","48.45","14,931,910"
"12/2013","39.56","41.75","36.92","40.74","15,569,636"
"11/2013","44.5","45.74","38.84","40.35","11,156,396"
"10/2013","44.19","46.77","40.02","44.91","13,844,836"
"09/2013","45.62","47.7","40.6","45.26","23,204,611"
"08/2013","42.54","48.46","38.09","45.35","12,124,950"
"07/2013","36.05","45.3","33.53","42.19","10,157,573"
"06/2013","41.97","43.67","31.54","35.77","10,104,287"
"05/2013","42.7","44.975","0","41.73","9,511,963"
"04/2013","45.46","45.69","34.53","43.63","13,877,348"
"03/2013","48.23","48.27","43.2","45.59","8,288,639"
"02/2013","53.77","55.2","47.01","48.24","5,373,087"
